fecha,servicio,tipo_opcion,plato
2026-08-16,Cena,Opción 1,Lentejas guisadas
2026-08-16,Cena,Opción 2,Lasaña boloñesa
2026-08-16,Cena,Hipocalórico,Pescado con verduras al horno
2026-08-17,Almuerzo,Opción 1,Estofado de ave
2026-08-17,Almuerzo,Opción 2,Garbanzos guisados
2026-08-17,Almuerzo,Hipocalórico,Bistec de vacuno con ensalada mix
2026-08-17,Cena,Opción 1,Charquicán de vacuno con huevo frito
2026-08-17,Cena,Opción 2,Chuleta al jugo con arroz
2026-08-17,Cena,Hipocalórico,Hamburguesa vacuno con ensalada mix
2026-08-18,Almuerzo,Opción 1,Carbonada de vacuno
2026-08-18,Almuerzo,Opción 2,Spaghetti con salsa boloñesa
2026-08-18,Almuerzo,Hipocalórico,Croqueta de garbanzos con verduras al horno
2026-08-18,Cena,Opción 1,Completo con papas fritas
2026-08-18,Cena,Opción 2,Completo con papas fritas
2026-08-18,Cena,Hipocalórico,Salpicón de ave
2026-08-19,Almuerzo,Opción 1,Lentejas Pancho Villa
2026-08-19,Almuerzo,Opción 2,Tomaticán de vacuno con arroz
2026-08-19,Almuerzo,Hipocalórico,Crepe de verduras pollo con ensalada mix
2026-08-19,Cena,Opción 1,Pollo a la mostaza con quinoa y verduras
2026-08-19,Cena,Opción 2,Milanesa vacuno con puré
2026-08-19,Cena,Hipocalórico,Omelette tomate queso con verduras al horno
2026-08-20,Almuerzo,Opción 1,Albóndigas atomatadas con spaghetti
2026-08-20,Almuerzo,Opción 2,Pescado al horno con papas doradas
2026-08-20,Almuerzo,Hipocalórico,Ensalada César
2026-08-20,Cena,Opción 1,Pizza variedad
2026-08-20,Cena,Opción 2,Pizza variedad
2026-08-20,Cena,Hipocalórico,Tomate relleno con ensalada mix
2026-08-21,Almuerzo,Opción 1,Garbanzos guisados
2026-08-21,Almuerzo,Opción 2,Chupe de mariscos
2026-08-21,Almuerzo,Hipocalórico,Albóndiga vacuno con ensalada mix
2026-08-21,Cena,Opción 1,Cerdo acaramelado con papas fritas
2026-08-21,Cena,Opción 2,Cerdo acaramelado con papas fritas
2026-08-21,Cena,Hipocalórico,Bistec de vacuno con papas doradas
2026-08-22,Almuerzo,Opción 1,Cazuela de vacuno
2026-08-22,Almuerzo,Opción 2,Pollo arvejado con arroz
2026-08-22,Almuerzo,Hipocalórico,Ensalada del chef
2026-08-22,Cena,Opción 1,Lentejas Pancho Villa
2026-08-22,Cena,Opción 2,Carne asada con fideos
2026-08-22,Cena,Hipocalórico,Omelette jamón queso con ensalada mix
2026-08-23,Almuerzo,Opción 1,Strogonoff vacuno con arroz
2026-08-23,Almuerzo,Opción 2,Porotos con mazamorra
2026-08-23,Almuerzo,Hipocalórico,Salpicón de vacuno
2026-08-23,Cena,Opción 1,Pescado frito con arroz y verduras salteadas
2026-08-23,Cena,Opción 2,Milanesa de pollo con quinoa y verduras
2026-08-23,Cena,Hipocalórico,Crepe de espinaca pollo con verduras al horno
2026-08-24,Almuerzo,Opción 1,Lasaña de verduras y ave
2026-08-24,Almuerzo,Opción 2,Ragout de vacuno con puré
2026-08-24,Almuerzo,Hipocalórico,Pescado al horno con ensalada mix
2026-08-24,Cena,Opción 1,Sándwich hamburguesa con papas fritas
2026-08-24,Cena,Opción 2,Sándwich hamburguesa con papas fritas
2026-08-24,Cena,Hipocalórico,Torta salada de jurel
2026-08-25,Almuerzo,Opción 1,Lentejas guisadas
2026-08-25,Almuerzo,Opción 2,Chuleta a la mostaza con quinoa y verduras
2026-08-25,Almuerzo,Hipocalórico,Pollo a la plancha con verduras al horno
2026-08-25,Cena,Opción 1,Pastel de papa
2026-08-25,Cena,Opción 2,Spaghetti con salsa boloñesa
2026-08-25,Cena,Hipocalórico,Ensalada campestre
2026-08-26,Almuerzo,Opción 1,Estofado de mixto
2026-08-26,Almuerzo,Opción 2,Carne a la olla con arroz
2026-08-26,Almuerzo,Hipocalórico,Omelette pollo pimentón con ensalada mix
2026-08-26,Cena,Opción 1,Pollo saltado con arroz y papas fritas
2026-08-26,Cena,Opción 2,Cerdo al jugo con puré
2026-08-26,Cena,Hipocalórico,Quiche Lorraine con ensalada mix
2026-08-27,Almuerzo,Opción 1,Carbonada de ave
2026-08-27,Almuerzo,Opción 2,Hamburguesa atomatada con espirales
2026-08-27,Almuerzo,Hipocalórico,Wraps de vacuno con verduras al horno
2026-08-27,Cena,Opción 1,Charquicán de vacuno con huevo frito
2026-08-27,Cena,Opción 2,Zapallo italiano relleno con arroz
2026-08-27,Cena,Hipocalórico,Croqueta de zapallo italiano con verduras al horno
2026-08-28,Almuerzo,Opción 1,Ajiaco
2026-08-28,Almuerzo,Opción 2,Pescado frito con arroz y verduras salteadas
2026-08-28,Almuerzo,Hipocalórico,Wraps de ave con ensalada mix
2026-08-28,Cena,Opción 1,Pollo a lo pobre
2026-08-28,Cena,Opción 2,Pollo a lo pobre
2026-08-28,Cena,Hipocalórico,Quiche de verduras con verduras al horno
